window,regime,months,calls,hits,accuracy,down_calls,down_hits,down_precision,normal_down_recall,sudden_drop_events,sudden_down_calls,sudden_down_precision,sudden_drop_recall,replacement_calls,abstained_down_candidates,policy,down_threshold,down_margin,maximum_replacements
120_179,mixed,40,714,487,0.6820728291316527,2,1,0.5,0.0016181229773462784,18,0,,0.0,0,156,permissive,0.55,0.0,0
120_179,stressed,13,231,125,0.5411255411255411,8,3,0.375,0.01098901098901099,20,0,,0.0,0,141,permissive,0.55,0.0,0
180_219,all,40,675,389,0.5762962962962963,18,6,0.3333333333333333,0.007416563658838072,34,0,,0.0,0,503,permissive,0.55,0.0,0
180_219,calm,7,127,62,0.4881889763779528,0,0,,0.0,5,0,,0.0,0,63,permissive,0.55,0.0,0
180_219,mixed,21,349,208,0.5959885386819485,1,0,0.0,0.0,13,0,,0.0,0,214,permissive,0.55,0.0,0
180_219,stressed,12,199,119,0.5979899497487438,17,6,0.35294117647058826,0.025,16,0,,0.0,0,226,permissive,0.55,0.0,0
220_266,all,47,799,501,0.6270337922403004,18,7,0.3888888888888889,0.007446808510638298,140,4,1.0,0.02857142857142857,0,426,permissive,0.55,0.0,0
220_266,calm,13,229,128,0.5589519650655022,0,0,,0.0,39,0,,0.0,0,68,permissive,0.55,0.0,0
220_266,mixed,24,403,273,0.6774193548387096,0,0,,0.0,69,0,,0.0,0,170,permissive,0.55,0.0,0
220_266,stressed,10,167,100,0.5988023952095808,18,7,0.3888888888888889,0.0319634703196347,32,4,1.0,0.125,0,188,permissive,0.55,0.0,0
120_179,all,60,1071,682,0.6367880485527544,58,30,0.5172413793103449,0.029154518950437316,39,0,,0.0,48,272,permissive,0.55,0.0,1
120_179,calm,7,126,74,0.5873015873015873,5,3,0.6,0.021739130434782608,1,0,,0.0,5,11,permissive,0.55,0.0,1
120_179,mixed,40,714,481,0.6736694677871149,33,16,0.48484848484848486,0.025889967637540454,18,0,,0.0,31,126,permissive,0.55,0.0,1
120_179,stressed,13,231,127,0.5497835497835498,20,11,0.55,0.040293040293040296,20,0,,0.0,12,135,permissive,0.55,0.0,1
180_219,all,40,675,383,0.5674074074074074,56,22,0.39285714285714285,0.027194066749072928,34,0,,0.0,40,466,permissive,0.55,0.0,1
180_219,calm,7,127,66,0.5196850393700787,7,5,0.7142857142857143,0.030864197530864196,5,0,,0.0,7,56,permissive,0.55,0.0,1
180_219,mixed,21,349,200,0.5730659025787965,22,7,0.3181818181818182,0.0171990171990172,13,0,,0.0,21,193,permissive,0.55,0.0,1
180_219,stressed,12,199,117,0.5879396984924623,27,10,0.37037037037037035,0.041666666666666664,16,0,,0.0,12,217,permissive,0.55,0.0,1
220_266,all,47,799,492,0.6157697121401752,63,25,0.3968253968253968,0.026595744680851064,140,4,1.0,0.02857142857142857,47,384,permissive,0.55,0.0,1
220_266,calm,13,229,127,0.5545851528384279,13,6,0.46153846153846156,0.02054794520547945,39,0,,0.0,13,55,permissive,0.55,0.0,1
220_266,mixed,24,403,266,0.6600496277915633,24,8,0.3333333333333333,0.018648018648018648,69,1,1.0,0.014492753623188406,24,146,permissive,0.55,0.0,1
220_266,stressed,10,167,99,0.592814371257485,26,11,0.4230769230769231,0.0502283105022831,32,3,1.0,0.09375,10,183,permissive,0.55,0.0,1
120_179,all,60,1071,678,0.6330532212885154,85,45,0.5294117647058824,0.043731778425655975,39,0,,0.0,76,246,permissive,0.55,0.0,2
120_179,calm,7,126,72,0.5714285714285714,7,3,0.42857142857142855,0.021739130434782608,1,0,,0.0,7,9,permissive,0.55,0.0,2
120_179,mixed,40,714,477,0.6680672268907563,48,24,0.5,0.038834951456310676,18,0,,0.0,47,111,permissive,0.55,0.0,2
120_179,stressed,13,231,129,0.5584415584415584,30,18,0.6,0.06593406593406594,20,0,,0.0,22,126,permissive,0.55,0.0,2
180_219,all,40,675,385,0.5703703703703704,94,43,0.4574468085106383,0.05315203955500618,34,0,,0.0,80,430,permissive,0.55,0.0,2
180_219,calm,7,127,69,0.5433070866141733,14,10,0.7142857142857143,0.06172839506172839,5,0,,0.0,14,49,permissive,0.55,0.0,2
180_219,mixed,21,349,197,0.5644699140401146,42,16,0.38095238095238093,0.03931203931203931,13,0,,0.0,42,173,permissive,0.55,0.0,2
180_219,stressed,12,199,119,0.5979899497487438,38,17,0.4473684210526316,0.07083333333333333,16,0,,0.0,24,208,permissive,0.55,0.0,2
220_266,all,47,799,486,0.6082603254067585,102,44,0.43137254901960786,0.04680851063829787,140,7,1.0,0.05,87,346,permissive,0.55,0.0,2
220_266,calm,13,229,125,0.5458515283842795,23,9,0.391304347826087,0.030821917808219176,39,0,,0.0,23,46,permissive,0.55,0.0,2
220_266,mixed,24,403,261,0.6476426799007444,44,17,0.38636363636363635,0.039627039627039624,69,3,1.0,0.043478260869565216,44,126,permissive,0.55,0.0,2
220_266,stressed,10,167,100,0.5988023952095808,35,18,0.5142857142857142,0.0821917808219178,32,4,1.0,0.125,20,174,permissive,0.55,0.0,2
