risk_penalty,down_risk_bonus,context_role_bonus,minimum_down_calls_met,months,calls,hits,accuracy,up_calls,down_calls,down_hits,down_accuracy,changed_calls
0.0,0.1,0.025,True,60,900,577,0.6411111111111111,886,14,10,0.7142857142857143,21
0.025,0.0,0.05,True,60,900,575,0.6388888888888888,886,14,10,0.7142857142857143,56
0.025,0.0,0.075,True,60,900,575,0.6388888888888888,886,14,10,0.7142857142857143,57
0.025,0.0,0.1,True,60,900,575,0.6388888888888888,886,14,10,0.7142857142857143,57
0.025,0.025,0.05,True,60,900,575,0.6388888888888888,886,14,10,0.7142857142857143,56
0.025,0.025,0.075,True,60,900,575,0.6388888888888888,886,14,10,0.7142857142857143,57
0.025,0.025,0.1,True,60,900,575,0.6388888888888888,886,14,10,0.7142857142857143,57
0.025,0.05,0.05,True,60,900,575,0.6388888888888888,886,14,10,0.7142857142857143,56
0.025,0.05,0.075,True,60,900,575,0.6388888888888888,886,14,10,0.7142857142857143,57
0.025,0.05,0.1,True,60,900,575,0.6388888888888888,886,14,10,0.7142857142857143,57
0.025,0.075,0.05,True,60,900,575,0.6388888888888888,886,14,10,0.7142857142857143,56
0.025,0.075,0.075,True,60,900,575,0.6388888888888888,886,14,10,0.7142857142857143,57
0.025,0.075,0.1,True,60,900,575,0.6388888888888888,886,14,10,0.7142857142857143,57
0.025,0.1,0.05,True,60,900,575,0.6388888888888888,886,14,10,0.7142857142857143,56
0.025,0.1,0.075,True,60,900,575,0.6388888888888888,886,14,10,0.7142857142857143,57
0.025,0.1,0.1,True,60,900,575,0.6388888888888888,886,14,10,0.7142857142857143,57
0.025,0.0,0.0,True,60,900,574,0.6377777777777778,886,14,10,0.7142857142857143,54
0.025,0.025,0.0,True,60,900,574,0.6377777777777778,886,14,10,0.7142857142857143,54
0.025,0.05,0.0,True,60,900,574,0.6377777777777778,886,14,10,0.7142857142857143,54
0.025,0.075,0.0,True,60,900,574,0.6377777777777778,886,14,10,0.7142857142857143,54
0.025,0.1,0.0,True,60,900,574,0.6377777777777778,886,14,10,0.7142857142857143,54
0.025,0.0,0.025,True,60,900,573,0.6366666666666667,886,14,10,0.7142857142857143,55
0.025,0.025,0.025,True,60,900,573,0.6366666666666667,886,14,10,0.7142857142857143,55
0.025,0.05,0.025,True,60,900,573,0.6366666666666667,886,14,10,0.7142857142857143,55
0.025,0.075,0.025,True,60,900,573,0.6366666666666667,886,14,10,0.7142857142857143,55
0.025,0.1,0.025,True,60,900,573,0.6366666666666667,886,14,10,0.7142857142857143,55
0.05,0.0,0.025,True,60,900,567,0.63,886,14,10,0.7142857142857143,95
0.05,0.025,0.025,True,60,900,567,0.63,886,14,10,0.7142857142857143,95
0.05,0.05,0.025,True,60,900,567,0.63,886,14,10,0.7142857142857143,95
0.05,0.075,0.025,True,60,900,567,0.63,886,14,10,0.7142857142857143,95
0.05,0.1,0.025,True,60,900,567,0.63,886,14,10,0.7142857142857143,95
0.05,0.0,0.05,True,60,900,566,0.6288888888888889,886,14,10,0.7142857142857143,98
0.05,0.0,0.075,True,60,900,566,0.6288888888888889,886,14,10,0.7142857142857143,98
0.05,0.0,0.1,True,60,900,566,0.6288888888888889,886,14,10,0.7142857142857143,98
0.05,0.025,0.05,True,60,900,566,0.6288888888888889,886,14,10,0.7142857142857143,98
0.05,0.025,0.075,True,60,900,566,0.6288888888888889,886,14,10,0.7142857142857143,98
0.05,0.025,0.1,True,60,900,566,0.6288888888888889,886,14,10,0.7142857142857143,98
0.05,0.05,0.05,True,60,900,566,0.6288888888888889,886,14,10,0.7142857142857143,98
0.05,0.05,0.075,True,60,900,566,0.6288888888888889,886,14,10,0.7142857142857143,98
0.05,0.05,0.1,True,60,900,566,0.6288888888888889,886,14,10,0.7142857142857143,98
0.05,0.075,0.05,True,60,900,566,0.6288888888888889,886,14,10,0.7142857142857143,98
0.05,0.075,0.075,True,60,900,566,0.6288888888888889,886,14,10,0.7142857142857143,98
0.05,0.075,0.1,True,60,900,566,0.6288888888888889,886,14,10,0.7142857142857143,98
0.05,0.1,0.05,True,60,900,566,0.6288888888888889,886,14,10,0.7142857142857143,98
0.05,0.1,0.075,True,60,900,566,0.6288888888888889,886,14,10,0.7142857142857143,98
0.05,0.1,0.1,True,60,900,566,0.6288888888888889,886,14,10,0.7142857142857143,98
0.05,0.0,0.0,True,60,900,565,0.6277777777777778,886,14,10,0.7142857142857143,97
0.05,0.025,0.0,True,60,900,565,0.6277777777777778,886,14,10,0.7142857142857143,97
0.05,0.05,0.0,True,60,900,565,0.6277777777777778,886,14,10,0.7142857142857143,97
0.05,0.075,0.0,True,60,900,565,0.6277777777777778,886,14,10,0.7142857142857143,97
0.05,0.1,0.0,True,60,900,565,0.6277777777777778,886,14,10,0.7142857142857143,97
0.1,0.0,0.025,True,60,900,563,0.6255555555555555,886,14,10,0.7142857142857143,195
0.1,0.025,0.025,True,60,900,563,0.6255555555555555,886,14,10,0.7142857142857143,195
0.1,0.05,0.025,True,60,900,563,0.6255555555555555,886,14,10,0.7142857142857143,195
0.1,0.075,0.025,True,60,900,563,0.6255555555555555,886,14,10,0.7142857142857143,195
0.1,0.1,0.025,True,60,900,563,0.6255555555555555,886,14,10,0.7142857142857143,195
0.075,0.0,0.025,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,151
0.075,0.025,0.025,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,151
0.075,0.05,0.025,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,151
0.075,0.075,0.025,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,151
0.075,0.1,0.025,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,151
0.1,0.0,0.0,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,196
0.1,0.0,0.05,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,194
0.1,0.0,0.075,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,194
0.1,0.0,0.1,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,194
0.1,0.025,0.0,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,196
0.1,0.025,0.05,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,194
0.1,0.025,0.075,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,194
