family,feature_set,logistic_c,minimum_local_rows,local_weight,fallback_rate,months,calls,hits,accuracy,monthly_mean,monthly_median,monthly_std,up_calls,down_calls,hits_vs_baseline
fixed_shrinkage,lean5,0.01,60,0.1,0.20542797494780793,60,900,573,0.6366666666666667,0.6366666666666666,0.6666666666666666,0.29264042454708145,900,0,-6
fixed_shrinkage,lean5,0.01,60,0.2,0.20542797494780793,60,900,570,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.28772763852927763,900,0,-9
fixed_shrinkage,lean5,0.01,60,0.3,0.20542797494780793,60,900,568,0.6311111111111111,0.6311111111111111,0.6666666666666666,0.2871948010237843,900,0,-11
fixed_shrinkage,lean5,0.01,60,0.4,0.20542797494780793,60,900,567,0.63,0.63,0.6666666666666666,0.2832219787826092,900,0,-12
fixed_shrinkage,lean5,0.01,60,0.5,0.20542797494780793,60,900,573,0.6366666666666667,0.6366666666666666,0.7333333333333333,0.28188897388331247,900,0,-6
pure_local,lean5,0.03,36,1.0,0.07724425887265135,60,900,566,0.6288888888888889,0.6288888888888888,0.6666666666666666,0.2842684248222272,900,0,-13
fixed_shrinkage,lean5,0.03,36,0.1,0.07724425887265135,60,900,571,0.6344444444444445,0.6344444444444445,0.6666666666666666,0.29342876379536026,900,0,-8
fixed_shrinkage,lean5,0.03,36,0.2,0.07724425887265135,60,900,569,0.6322222222222222,0.6322222222222222,0.6666666666666666,0.29368537341206374,900,0,-10
fixed_shrinkage,lean5,0.03,36,0.3,0.07724425887265135,60,900,569,0.6322222222222222,0.6322222222222222,0.6666666666666666,0.2934287637953602,900,0,-10
fixed_shrinkage,lean5,0.03,36,0.4,0.07724425887265135,60,900,570,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.2926597299153478,900,0,-9
fixed_shrinkage,lean5,0.03,36,0.5,0.07724425887265135,60,900,573,0.6366666666666667,0.6366666666666666,0.7,0.2874460565130376,900,0,-6
pure_local,lean5,0.03,48,1.0,0.13319415448851774,60,900,566,0.6288888888888889,0.6288888888888888,0.6666666666666666,0.28187338495771536,900,0,-13
fixed_shrinkage,lean5,0.03,48,0.1,0.13319415448851774,60,900,570,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.2926597299153477,900,0,-9
fixed_shrinkage,lean5,0.03,48,0.2,0.13319415448851774,60,900,568,0.6311111111111111,0.6311111111111113,0.6666666666666666,0.2929084407740935,900,0,-11
fixed_shrinkage,lean5,0.03,48,0.3,0.13319415448851774,60,900,567,0.63,0.6300000000000001,0.6666666666666666,0.2916089531277394,900,0,-12
fixed_shrinkage,lean5,0.03,48,0.4,0.13319415448851774,60,900,567,0.63,0.6300000000000001,0.6666666666666666,0.2905738202409436,900,0,-12
fixed_shrinkage,lean5,0.03,48,0.5,0.13319415448851774,60,900,568,0.6311111111111111,0.6311111111111111,0.6666666666666666,0.2848243696239864,900,0,-11
pure_local,lean5,0.03,60,1.0,0.20542797494780793,60,900,570,0.6333333333333333,0.6333333333333332,0.7,0.2845685934341927,900,0,-9
fixed_shrinkage,lean5,0.03,60,0.1,0.20542797494780793,60,900,569,0.6322222222222222,0.6322222222222222,0.6666666666666666,0.29342876379536026,900,0,-10
fixed_shrinkage,lean5,0.03,60,0.2,0.20542797494780793,60,900,568,0.6311111111111111,0.6311111111111113,0.6666666666666666,0.29110262922333896,900,0,-11
fixed_shrinkage,lean5,0.03,60,0.3,0.20542797494780793,60,900,566,0.6288888888888889,0.6288888888888889,0.6666666666666666,0.28690613218962413,900,0,-13
fixed_shrinkage,lean5,0.03,60,0.4,0.20542797494780793,60,900,570,0.6333333333333333,0.6333333333333332,0.7,0.2845685934341927,900,0,-9
fixed_shrinkage,lean5,0.03,60,0.5,0.20542797494780793,60,900,572,0.6355555555555555,0.6355555555555555,0.7333333333333333,0.28029219799814536,900,0,-7
pure_local,lean5,0.1,36,1.0,0.07724425887265135,60,900,562,0.6244444444444445,0.6244444444444444,0.6666666666666666,0.27554887301295,900,0,-17
fixed_shrinkage,lean5,0.1,36,0.1,0.07724425887265135,60,900,570,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.2929170132440829,900,0,-9
fixed_shrinkage,lean5,0.1,36,0.2,0.07724425887265135,60,900,568,0.6311111111111111,0.6311111111111113,0.6666666666666666,0.2941915198391356,900,0,-11
fixed_shrinkage,lean5,0.1,36,0.3,0.07724425887265135,60,900,572,0.6355555555555555,0.6355555555555557,0.6666666666666666,0.2923936326414969,900,0,-7
fixed_shrinkage,lean5,0.1,36,0.4,0.07724425887265135,60,900,572,0.6355555555555555,0.6355555555555555,0.7,0.2882420688760247,900,0,-7
fixed_shrinkage,lean5,0.1,36,0.5,0.07724425887265135,60,900,571,0.6344444444444445,0.6344444444444445,0.7,0.2892920553404701,900,0,-8
pure_local,lean5,0.1,48,1.0,0.13319415448851774,60,900,564,0.6266666666666667,0.6266666666666667,0.6666666666666666,0.27806162521995426,900,0,-15
fixed_shrinkage,lean5,0.1,48,0.1,0.13319415448851774,60,900,569,0.6322222222222222,0.6322222222222222,0.6666666666666666,0.29214233475127055,900,0,-10
fixed_shrinkage,lean5,0.1,48,0.2,0.13319415448851774,60,900,567,0.63,0.6300000000000001,0.6666666666666666,0.2934116485080747,900,0,-12
fixed_shrinkage,lean5,0.1,48,0.3,0.13319415448851774,60,900,570,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.2905932629027116,900,0,-9
fixed_shrinkage,lean5,0.1,48,0.4,0.13319415448851774,60,900,570,0.6333333333333333,0.6333333333333333,0.7,0.28641560415781253,900,0,-9
fixed_shrinkage,lean5,0.1,48,0.5,0.13319415448851774,60,900,568,0.6311111111111111,0.6311111111111111,0.6666666666666666,0.2871948010237843,900,0,-11
pure_local,lean5,0.1,60,1.0,0.20542797494780793,60,900,565,0.6277777777777778,0.6277777777777777,0.7333333333333333,0.2805138321793459,900,0,-14
fixed_shrinkage,lean5,0.1,60,0.1,0.20542797494780793,60,900,568,0.6311111111111111,0.6311111111111113,0.6666666666666666,0.2929084407740935,900,0,-11
fixed_shrinkage,lean5,0.1,60,0.2,0.20542797494780793,60,900,567,0.63,0.6300000000000001,0.6666666666666666,0.2916089531277394,900,0,-12
fixed_shrinkage,lean5,0.1,60,0.3,0.20542797494780793,60,900,572,0.6355555555555555,0.6355555555555557,0.6666666666666666,0.28745697568297246,900,0,-7
fixed_shrinkage,lean5,0.1,60,0.4,0.20542797494780793,60,900,569,0.6322222222222222,0.6322222222222221,0.7,0.2840364599992649,900,0,-10
fixed_shrinkage,lean5,0.1,60,0.5,0.20542797494780793,60,900,571,0.6344444444444445,0.6344444444444445,0.7333333333333333,0.2866763016819036,900,0,-8
pure_local,lean5,0.25,36,1.0,0.07724425887265135,60,900,562,0.6244444444444445,0.6244444444444444,0.6666666666666666,0.27141719623682126,900,0,-17
fixed_shrinkage,lean5,0.25,36,0.1,0.07724425887265135,60,900,570,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.2929170132440829,900,0,-9
fixed_shrinkage,lean5,0.25,36,0.2,0.07724425887265135,60,900,570,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.2939438946171092,900,0,-9
fixed_shrinkage,lean5,0.25,36,0.3,0.07724425887265135,60,900,571,0.6344444444444445,0.6344444444444445,0.6666666666666666,0.2866763016819036,900,0,-8
fixed_shrinkage,lean5,0.25,36,0.4,0.07724425887265135,60,900,572,0.6355555555555555,0.6355555555555555,0.7,0.2871948010237843,900,0,-7
fixed_shrinkage,lean5,0.25,36,0.5,0.07724425887265135,60,900,570,0.6333333333333333,0.6333333333333334,0.7,0.287989328113638,900,0,-9
pure_local,lean5,0.25,48,1.0,0.13319415448851774,60,900,563,0.6255555555555555,0.6255555555555554,0.6666666666666666,0.27172925116461216,900,0,-16
fixed_shrinkage,lean5,0.25,48,0.1,0.13319415448851774,60,900,569,0.6322222222222222,0.6322222222222222,0.6666666666666666,0.29214233475127055,900,0,-10
fixed_shrinkage,lean5,0.25,48,0.2,0.13319415448851774,60,900,569,0.6322222222222222,0.6322222222222222,0.6666666666666666,0.293171929571648,900,0,-10
fixed_shrinkage,lean5,0.25,48,0.3,0.13319415448851774,60,900,569,0.6322222222222222,0.6322222222222221,0.6666666666666666,0.2848309814785673,900,0,-10
fixed_shrinkage,lean5,0.25,48,0.4,0.13319415448851774,60,900,571,0.6344444444444445,0.6344444444444445,0.7,0.28615028163291023,900,0,-8
fixed_shrinkage,lean5,0.25,48,0.5,0.13319415448851774,60,900,570,0.6333333333333333,0.6333333333333333,0.7,0.28772763852927763,900,0,-9
pure_local,lean5,0.25,60,1.0,0.20542797494780793,60,900,565,0.6277777777777778,0.6277777777777777,0.7333333333333333,0.27426784348263045,900,0,-14
fixed_shrinkage,lean5,0.25,60,0.1,0.20542797494780793,60,900,568,0.6311111111111111,0.6311111111111113,0.6666666666666666,0.2929084407740935,900,0,-11
fixed_shrinkage,lean5,0.25,60,0.2,0.20542797494780793,60,900,569,0.6322222222222222,0.6322222222222222,0.6666666666666666,0.29136775105147356,900,0,-10
fixed_shrinkage,lean5,0.25,60,0.3,0.20542797494780793,60,900,570,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.28562549064107495,900,0,-9
fixed_shrinkage,lean5,0.25,60,0.4,0.20542797494780793,60,900,568,0.6311111111111111,0.6311111111111111,0.7,0.28876427849952446,900,0,-11
fixed_shrinkage,lean5,0.25,60,0.5,0.20542797494780793,60,900,570,0.6333333333333333,0.6333333333333333,0.7333333333333333,0.28667849141293233,900,0,-9
pure_local,core8,0.01,36,1.0,0.07724425887265135,60,900,573,0.6366666666666667,0.6366666666666666,0.7,0.2832219787826092,900,0,-6
fixed_shrinkage,core8,0.01,36,0.1,0.07724425887265135,60,900,575,0.6388888888888888,0.6388888888888888,0.6666666666666666,0.2938904997837652,900,0,-4
fixed_shrinkage,core8,0.01,36,0.2,0.07724425887265135,60,900,572,0.6355555555555555,0.6355555555555557,0.6666666666666666,0.29367896090431905,900,0,-7
fixed_shrinkage,core8,0.01,36,0.3,0.07724425887265135,60,900,569,0.6322222222222222,0.6322222222222222,0.6666666666666666,0.2934287637953602,900,0,-10
fixed_shrinkage,core8,0.01,36,0.4,0.07724425887265135,60,900,570,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.29188651923820386,900,0,-9
fixed_shrinkage,core8,0.01,36,0.5,0.07724425887265135,60,900,573,0.6366666666666667,0.6366666666666666,0.7,0.2882311794480715,900,0,-6
pure_local,core8,0.01,48,1.0,0.13319415448851774,60,900,571,0.6344444444444445,0.6344444444444445,0.6666666666666666,0.2767831533868066,900,0,-8
fixed_shrinkage,core8,0.01,48,0.1,0.13319415448851774,60,900,574,0.6377777777777778,0.6377777777777778,0.6666666666666666,0.2931398094716062,900,0,-5
fixed_shrinkage,core8,0.01,48,0.2,0.13319415448851774,60,900,570,0.6333333333333333,0.6333333333333334,0.6666666666666666,0.29188651923820386,900,0,-9
fixed_shrinkage,core8,0.01,48,0.3,0.13319415448851774,60,900,567,0.63,0.6300000000000001,0.6666666666666666,0.2916089531277394,900,0,-12
fixed_shrinkage,core8,0.01,48,0.4,0.13319415448851774,60,900,565,0.6277777777777778,0.6277777777777778,0.6666666666666666,0.2892399720930211,900,0,-14
fixed_shrinkage,core8,0.01,48,0.5,0.13319415448851774,60,900,569,0.6322222222222222,0.6322222222222221,0.6666666666666666,0.2845663874675538,900,0,-10
pure_local,core8,0.01,60,1.0,0.20542797494780793,60,900,577,0.6411111111111111,0.6411111111111112,0.7,0.28126474293506853,900,0,-2
fixed_shrinkage,core8,0.01,60,0.1,0.20542797494780793,60,900,574,0.6377777777777778,0.6377777777777778,0.6666666666666666,0.29339667181268364,900,0,-5
fixed_shrinkage,core8,0.01,60,0.2,0.20542797494780793,60,900,571,0.6344444444444445,0.6344444444444444,0.6666666666666666,0.2903317581973311,900,0,-8
fixed_shrinkage,core8,0.01,60,0.3,0.20542797494780793,60,900,568,0.6311111111111111,0.6311111111111113,0.6666666666666666,0.2856166993241662,900,0,-11
fixed_shrinkage,core8,0.01,60,0.4,0.20542797494780793,60,900,570,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.28403867008154876,900,0,-9
fixed_shrinkage,core8,0.01,60,0.5,0.20542797494780793,60,900,575,0.6388888888888888,0.638888888888889,0.7333333333333333,0.2780864574921843,900,0,-4
pure_local,core8,0.03,36,1.0,0.07724425887265135,60,900,566,0.6288888888888889,0.6288888888888889,0.6666666666666666,0.2829403500428321,900,0,-13
fixed_shrinkage,core8,0.03,36,0.1,0.07724425887265135,60,900,573,0.6366666666666667,0.6366666666666667,0.6666666666666666,0.29418085063674004,900,0,-6
fixed_shrinkage,core8,0.03,36,0.2,0.07724425887265135,60,900,570,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.2929170132440829,900,0,-9
fixed_shrinkage,core8,0.03,36,0.3,0.07724425887265135,60,900,571,0.6344444444444445,0.6344444444444445,0.6666666666666666,0.290850215893634,900,0,-8
fixed_shrinkage,core8,0.03,36,0.4,0.07724425887265135,60,900,574,0.6377777777777778,0.6377777777777778,0.6666666666666666,0.28664345370913336,900,0,-5
fixed_shrinkage,core8,0.03,36,0.5,0.07724425887265135,60,900,573,0.6366666666666667,0.6366666666666666,0.6666666666666666,0.2858693418375544,900,0,-6
pure_local,core8,0.03,48,1.0,0.13319415448851774,60,900,565,0.6277777777777778,0.6277777777777778,0.6666666666666666,0.2839834128645052,900,0,-14
fixed_shrinkage,core8,0.03,48,0.1,0.13319415448851774,60,900,572,0.6355555555555555,0.6355555555555557,0.6666666666666666,0.2934223456796203,900,0,-7
fixed_shrinkage,core8,0.03,48,0.2,0.13319415448851774,60,900,569,0.6322222222222222,0.6322222222222222,0.6666666666666666,0.29214233475127055,900,0,-10
fixed_shrinkage,core8,0.03,48,0.3,0.13319415448851774,60,900,568,0.6311111111111111,0.6311111111111111,0.6666666666666666,0.2890250294889024,900,0,-11
fixed_shrinkage,core8,0.03,48,0.4,0.13319415448851774,60,900,572,0.6355555555555555,0.6355555555555555,0.6666666666666666,0.2848243696239864,900,0,-7
fixed_shrinkage,core8,0.03,48,0.5,0.13319415448851774,60,900,570,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.2835077562153723,900,0,-9
pure_local,core8,0.03,60,1.0,0.20542797494780793,60,900,569,0.6322222222222222,0.6322222222222221,0.7,0.2824407120205125,900,0,-10
fixed_shrinkage,core8,0.03,60,0.1,0.20542797494780793,60,900,571,0.6344444444444445,0.6344444444444445,0.6666666666666666,0.29419792117485,900,0,-8
fixed_shrinkage,core8,0.03,60,0.2,0.20542797494780793,60,900,568,0.6311111111111111,0.6311111111111113,0.6666666666666666,0.29110262922333896,900,0,-11
fixed_shrinkage,core8,0.03,60,0.3,0.20542797494780793,60,900,569,0.6322222222222222,0.6322222222222221,0.6666666666666666,0.2864134124169185,900,0,-10
fixed_shrinkage,core8,0.03,60,0.4,0.20542797494780793,60,900,576,0.64,0.64,0.7333333333333333,0.2807576512885484,900,0,-3
fixed_shrinkage,core8,0.03,60,0.5,0.20542797494780793,60,900,576,0.64,0.64,0.7333333333333333,0.2788731697763201,900,0,-3
pure_local,core8,0.1,36,1.0,0.07724425887265135,60,900,564,0.6266666666666667,0.6266666666666666,0.6666666666666666,0.2802205211786642,900,0,-15
