coverage,cumulative_accuracy,correctness_lcb
0.00824083417423478,0.5102040816326531,0.6064225985888243
0.008409014463504878,0.5,0.606307121079289
0.008577194752774974,0.5098039215686274,0.6061876595118413
0.008745375042045072,0.5,0.6061601225534846
0.00891355533131517,0.5094339622641509,0.6060656636923891
0.009081735620585268,0.5185185185185185,0.6059804922562662
0.009249915909855366,0.5272727272727272,0.6058297638717389
0.009418096199125462,0.5178571428571429,0.605816841052569
0.00958627648839556,0.5087719298245614,0.6057103083386468
0.009754456777665657,0.5,0.6056708166811237
0.009922637066935755,0.5084745762711864,0.6056215440450894
0.010090817356205853,0.5166666666666667,0.6055414642172919
0.010258997645475951,0.5245901639344263,0.605339038037551
0.010427177934746047,0.532258064516129,0.6044213348932672
0.010595358224016145,0.5396825396825397,0.6043843326248477
0.010763538513286243,0.546875,0.6043262376912
0.01093171880255634,0.5538461538461539,0.6040155064298081
0.011099899091826439,0.5454545454545454,0.6038837138722557
0.011268079381096535,0.5522388059701493,0.6036714695964663
0.011436259670366633,0.5588235294117647,0.6030138170308067
0.01160443995963673,0.5507246376811594,0.6027128127956161
0.011772620248906828,0.5571428571428572,0.6021528446585384
0.011940800538176926,0.5633802816901409,0.60212113849541
0.012108980827447022,0.5555555555555556,0.6020482820759067
0.01227716111671712,0.5616438356164384,0.6018489007908463
0.012445341405987218,0.5540540540540541,0.6015554758194839
0.012613521695257316,0.5466666666666666,0.6013219098703163
0.012781701984527414,0.5526315789473685,0.6013200133761187
0.01294988227379751,0.5584415584415584,0.6013191808257984
0.013118062563067608,0.5512820512820513,0.6011488857111004
0.013286242852337706,0.5443037974683544,0.6008749370390005
0.013454423141607804,0.55,0.6008648853580244
0.013622603430877902,0.5555555555555556,0.6004117194277842
0.013790783720148,0.5609756097560976,0.6002507748040067
0.013958964009418096,0.5662650602409639,0.6002182136262784
0.014127144298688193,0.5595238095238095,0.5995502671761753
0.014295324587958291,0.5529411764705883,0.5995217778978255
0.01446350487722839,0.5465116279069767,0.5994644525819445
0.014631685166498487,0.5402298850574713,0.599365705373928
0.014799865455768583,0.5454545454545454,0.5991041640358153
0.014968045745038681,0.5393258426966292,0.5988684874675837
0.015136226034308779,0.5444444444444444,0.5985818098515334
0.015304406323578877,0.5384615384615384,0.5984724046153568
0.015472586612848975,0.532608695652174,0.5977730986904422
0.01564076690211907,0.5268817204301075,0.5976139614874896
0.01580894719138917,0.5319148936170213,0.5976137546841044
0.015977127480659267,0.5368421052631579,0.5975575035874101
0.016145307769929364,0.5416666666666666,0.5975389037581181
0.016313488059199462,0.5360824742268041,0.5975026219260471
0.01648166834846956,0.5306122448979592,0.5973466658028999
0.016649848637739658,0.5252525252525253,0.5970443049409214
0.016818028927009756,0.52,0.5970123701273701
0.01698620921627985,0.5247524752475248,0.5968803921374445
0.017154389505549948,0.5196078431372549,0.5968672083885261
0.017322569794820046,0.5145631067961165,0.5968497194092726
0.017490750084090144,0.5192307692307693,0.5968200125652079
0.017658930373360242,0.5238095238095238,0.5967550674799497
0.01782711066263034,0.5283018867924528,0.596609466021213
0.017995290951900438,0.5233644859813084,0.59645493389703
0.018163471241170535,0.5185185185185185,0.5964479858493913
0.018331651530440633,0.5229357798165137,0.5963669857811792
0.01849983181971073,0.5272727272727272,0.5963591040690283
0.01866801210898083,0.5315315315315315,0.5962851164446547
0.018836192398250923,0.5267857142857143,0.5961287043264681
0.01900437268752102,0.5309734513274337,0.5959752422727328
0.01917255297679112,0.5263157894736842,0.5959254464752585
0.019340733266061217,0.5304347826086957,0.5958825084762945
0.019508913555331315,0.5344827586206896,0.5958202691117034
0.019677093844601413,0.5299145299145299,0.5957858391817477
0.01984527413387151,0.5338983050847458,0.5954699385421064
0.02001345442314161,0.5294117647058824,0.595393848089725
0.020181634712411706,0.525,0.5952197256657744
0.020349815001681804,0.5289256198347108,0.5951816342950383
0.020517995290951902,0.5327868852459017,0.5951289427512163
0.020686175580221997,0.5365853658536586,0.5950944521306759
0.020854355869492094,0.5403225806451613,0.5950611550104421
0.021022536158762192,0.536,0.5949104019524855
0.02119071644803229,0.5396825396825397,0.5946666907995116
0.021358896737302388,0.5433070866141733,0.5943463569411525
0.021527077026572486,0.5390625,0.5943187257401157
0.021695257315842584,0.5426356589147286,0.5939235633971672
