model,method,bucket,calls,average_probability,observed_accuracy,observed_wilson_ci95_low,observed_wilson_ci95_high,observed_wilson_lcb_95_one_sided
active,causal_rank_regime_beta,<55%,19,0.539547840577879,0.631578947368421,0.41039533164803066,0.8085048725486492,0.44408481274819417
active,causal_rank_regime_beta,55-60%,328,0.5824547897355457,0.6341463414634146,0.5807461431922403,0.6844407334347382,0.589468322556272
active,causal_rank_regime_beta,60-65%,483,0.6214114550583117,0.6045548654244306,0.5602894864080328,0.6471702485222224,0.5674754730135002
active,causal_rank_regime_beta,65-70%,361,0.6734042558283784,0.6038781163434903,0.5525861677728169,0.6529825749967916,0.5609149292219302
active,causal_rank_regime_beta,70-75%,114,0.71301855994851,0.5614035087719298,0.46978749853445906,0.6490161902530515,0.4844136147422474
active,causal_platt_score_rank,55-60%,142,0.5923871265978182,0.6056338028169014,0.5234863173987483,0.6822165070421655,0.5368045074064757
active,causal_platt_score_rank,60-65%,779,0.6248125560135418,0.6110397946084724,0.5763399539543541,0.6446498748937686,0.5819719880763725
active,causal_platt_score_rank,65-70%,367,0.668699996121468,0.6049046321525886,0.5540497506945208,0.6535861491449046,0.5623089521743673
active,causal_platt_score_rank,70-75%,17,0.7092121108547227,0.5882352941176471,0.3600544264299978,0.7838894320978518,0.3933572626717811
active,causal_isotonic_score,<55%,198,0.3820329956407411,0.6818181818181818,0.614008523961655,0.7427070904650183,0.6252338648176105
active,causal_isotonic_score,55-60%,591,0.5784951684623745,0.5972927241962775,0.5572467371177627,0.6360820873861543,0.5637386086251382
active,causal_isotonic_score,60-65%,177,0.6162377797419591,0.4915254237288136,0.41884227712016736,0.564568606536912,0.43031141573807097
active,causal_isotonic_score,65-70%,153,0.6690718212577755,0.6535947712418301,0.575270818236541,0.7243948463995665,0.588146885812603
active,causal_isotonic_score,70-75%,130,0.7187911315777755,0.676923076923077,0.5924551452601903,0.7512350715479341,0.6064450063071806
active,causal_isotonic_score,>=75%,52,0.7924310653968902,0.5576923076923077,0.42339761787202884,0.6840494318059871,0.44435081795108755
adaptive,legacy_directional_score,<55%,55,0.5362903940021898,0.7454545454545455,0.6169812871823414,0.841878852269271,0.6389251339717149
adaptive,legacy_directional_score,55-60%,365,0.5814053080874219,0.673972602739726,0.6242880160036551,0.720033363718842,0.6324629664782333
adaptive,legacy_directional_score,60-65%,1079,0.6264369459992237,0.5912882298424467,0.561682400512563,0.6202463559044195,0.5664732349904771
adaptive,legacy_directional_score,65-70%,736,0.6707145502188021,0.6182065217391305,0.582579985667619,0.6526055367514081,0.5883686853797997
adaptive,legacy_directional_score,70-75%,234,0.7207518009441632,0.6794871794871795,0.6172088168438672,0.7359676243724922,0.6275008530377263
adaptive,legacy_directional_score,>=75%,76,0.7653983695293932,0.6578947368421053,0.5459589781543774,0.7546367318250531,0.564340234151217
adaptive,legacy_directional_score_causal_window,<55%,55,0.5362903940021898,0.7454545454545455,0.6169812871823414,0.841878852269271,0.6389251339717149
adaptive,legacy_directional_score_causal_window,55-60%,365,0.5814053080874219,0.673972602739726,0.6242880160036551,0.720033363718842,0.6324629664782333
adaptive,legacy_directional_score_causal_window,60-65%,1014,0.6258501608428422,0.5828402366863905,0.5522335525080917,0.6128216223858947,0.5571824371728685
adaptive,legacy_directional_score_causal_window,65-70%,621,0.670496650329055,0.6167471819645732,0.5779021017370252,0.6541567636808816,0.58421583152871
adaptive,legacy_directional_score_causal_window,70-75%,182,0.7205427652204996,0.6593406593406593,0.5878290403249925,0.7242649368104338,0.5996000849406997
adaptive,legacy_directional_score_causal_window,>=75%,65,0.7656754320211372,0.6615384615384615,0.5403837691551205,0.7646649668790333,0.5602728456732418
adaptive,causal_global_cohort,60-65%,2101,0.6288813183782807,0.6220847215611613,0.6011468823726757,0.6425769372291222,0.604538715445914
adaptive,causal_global_cohort,65-70%,181,0.6658814406455854,0.6243093922651933,0.5518607842891069,0.6915910921844083,0.563676648787661
adaptive,causal_global_cohort,70-75%,20,0.7067137809187278,0.2,0.08065766257979806,0.41601743225189364,0.09311801658121098
adaptive,causal_rank_beta,55-60%,121,0.593506947304017,0.6942148760330579,0.6071971806219708,0.7692803168695047,0.621697212605098
adaptive,causal_rank_beta,60-65%,1618,0.6209096976351279,0.6124845488257108,0.5885063822578142,0.6359298584242307,0.5923906521763689
adaptive,causal_rank_beta,65-70%,470,0.6670633906575323,0.6234042553191489,0.5787654614222736,0.6660421590183333,0.5860343482984625
adaptive,causal_rank_beta,70-75%,93,0.7118954560012432,0.6021505376344086,0.5005311962132275,0.6956657656187837,0.5169176803988321
adaptive,causal_regime_beta,<55%,268,0.5273947350542578,0.7238805970149254,0.6674766078910812,0.773957162073903,0.6768918956370394
adaptive,causal_regime_beta,55-60%,643,0.5779345671790347,0.5894245723172629,0.5509792566468169,0.6268077395820045,0.5572041885717521
adaptive,causal_regime_beta,60-65%,386,0.6309065470464218,0.5803108808290155,0.5305241458090786,0.6285148650430652,0.5385752247627275
adaptive,causal_regime_beta,65-70%,985,0.6727876090959519,0.63248730964467,0.6019180513148077,0.6620271925580292,0.6068883986896774
adaptive,causal_regime_beta,70-75%,20,0.7067137809187278,0.2,0.08065766257979806,0.41601743225189364,0.09311801658121098
adaptive,causal_rank_regime_beta,<55%,108,0.5375823834617223,0.6574074074074074,0.5638813982964374,0.7401203588203874,0.5792702509628783
adaptive,causal_rank_regime_beta,55-60%,467,0.5788101359932482,0.5910064239828694,0.5458493262927703,0.6346785316679487,0.5531647993227994
adaptive,causal_rank_regime_beta,60-65%,860,0.6255472115659813,0.6255813953488372,0.5927441920048533,0.6573016905982814,0.5980817450804995
adaptive,causal_rank_regime_beta,65-70%,726,0.6686526725705078,0.6322314049586777,0.5965453220140017,0.6665255102599569,0.6023546772399175
adaptive,causal_rank_regime_beta,70-75%,141,0.712081631892739,0.5673758865248227,0.4848842370655171,0.6462936739738974,0.49811554634941224
