model,method,window,threshold,calls,coverage,accuracy
active,causal_platt_score_rank,confirmation,0.6,0,,
active,causal_platt_score_rank,confirmation,0.65,0,,
active,causal_platt_score_rank,confirmation,0.7,0,,
active,causal_platt_score_rank,confirmation,0.75,0,,
active,causal_isotonic_score,all,0.5,1190,0.9118773946360154,0.6025210084033613
active,causal_isotonic_score,all,0.55,1107,0.8482758620689655,0.5953026196928636
active,causal_isotonic_score,all,0.6,516,0.3954022988505747,0.5930232558139535
active,causal_isotonic_score,all,0.65,339,0.2597701149425287,0.6460176991150443
active,causal_isotonic_score,all,0.7,186,0.1425287356321839,0.6397849462365591
active,causal_isotonic_score,all,0.75,56,0.04291187739463601,0.5535714285714286
active,causal_isotonic_score,tuning_early,0.5,245,0.9607843137254902,0.6
active,causal_isotonic_score,tuning_early,0.55,236,0.9254901960784314,0.5847457627118644
active,causal_isotonic_score,tuning_early,0.6,162,0.6352941176470588,0.6049382716049383
active,causal_isotonic_score,tuning_early,0.65,128,0.5019607843137255,0.625
active,causal_isotonic_score,tuning_early,0.7,89,0.34901960784313724,0.651685393258427
active,causal_isotonic_score,tuning_early,0.75,37,0.1450980392156863,0.5945945945945946
active,causal_isotonic_score,tuning_late,0.5,446,0.9911111111111112,0.647982062780269
active,causal_isotonic_score,tuning_late,0.55,446,0.9911111111111112,0.647982062780269
active,causal_isotonic_score,tuning_late,0.6,271,0.6022222222222222,0.6642066420664207
active,causal_isotonic_score,tuning_late,0.65,188,0.4177777777777778,0.675531914893617
active,causal_isotonic_score,tuning_late,0.7,97,0.21555555555555556,0.6288659793814433
active,causal_isotonic_score,tuning_late,0.75,19,0.042222222222222223,0.47368421052631576
active,causal_isotonic_score,validation,0.5,499,0.8316666666666667,0.56312625250501
active,causal_isotonic_score,validation,0.55,425,0.7083333333333334,0.5458823529411765
active,causal_isotonic_score,validation,0.6,83,0.13833333333333334,0.3373493975903614
active,causal_isotonic_score,validation,0.65,23,0.03833333333333333,0.5217391304347826
active,causal_isotonic_score,validation,0.7,0,0.0,
active,causal_isotonic_score,validation,0.75,0,0.0,
active,causal_isotonic_score,confirmation,0.5,0,,
active,causal_isotonic_score,confirmation,0.55,0,,
active,causal_isotonic_score,confirmation,0.6,0,,
active,causal_isotonic_score,confirmation,0.65,0,,
active,causal_isotonic_score,confirmation,0.7,0,,
active,causal_isotonic_score,confirmation,0.75,0,,
adaptive,legacy_directional_score,all,0.5,2544,0.999607072691552,0.6242138364779874
adaptive,legacy_directional_score,all,0.55,2490,0.9783889980353635,0.6216867469879518
adaptive,legacy_directional_score,all,0.6,2125,0.8349705304518664,0.6127058823529412
adaptive,legacy_directional_score,all,0.65,1046,0.41100196463654226,0.6347992351816444
adaptive,legacy_directional_score,all,0.7,310,0.12180746561886051,0.6741935483870968
adaptive,legacy_directional_score,all,0.75,76,0.02986247544204322,0.6578947368421053
adaptive,legacy_directional_score,tuning_early,0.5,552,1.0,0.6340579710144928
adaptive,legacy_directional_score,tuning_early,0.55,552,1.0,0.6340579710144928
adaptive,legacy_directional_score,tuning_early,0.6,543,0.9836956521739131,0.6335174953959485
adaptive,legacy_directional_score,tuning_early,0.65,401,0.7264492753623188,0.6458852867830424
adaptive,legacy_directional_score,tuning_early,0.7,150,0.2717391304347826,0.7066666666666667
adaptive,legacy_directional_score,tuning_early,0.75,43,0.07789855072463768,0.6744186046511628
adaptive,legacy_directional_score,tuning_late,0.5,519,1.0,0.6473988439306358
adaptive,legacy_directional_score,tuning_late,0.55,519,1.0,0.6473988439306358
adaptive,legacy_directional_score,tuning_late,0.6,505,0.9730250481695568,0.6455445544554456
adaptive,legacy_directional_score,tuning_late,0.65,305,0.5876685934489403,0.6754098360655738
adaptive,legacy_directional_score,tuning_late,0.7,110,0.2119460500963391,0.6545454545454545
adaptive,legacy_directional_score,tuning_late,0.75,29,0.055876685934489405,0.6206896551724138
adaptive,legacy_directional_score,validation,0.5,674,0.9985185185185185,0.5845697329376854
adaptive,legacy_directional_score,validation,0.55,625,0.9259259259259259,0.5744
adaptive,legacy_directional_score,validation,0.6,399,0.5911111111111111,0.5338345864661654
adaptive,legacy_directional_score,validation,0.65,66,0.09777777777777778,0.5
adaptive,legacy_directional_score,validation,0.7,4,0.005925925925925926,0.75
adaptive,legacy_directional_score,validation,0.75,0,0.0,
adaptive,legacy_directional_score,confirmation,0.5,799,1.0,0.6357947434292867
adaptive,legacy_directional_score,confirmation,0.55,794,0.9937421777221527,0.6335012594458438
adaptive,legacy_directional_score,confirmation,0.6,678,0.8485607008760951,0.6179941002949852
adaptive,legacy_directional_score,confirmation,0.65,274,0.3429286608260325,0.6058394160583942
adaptive,legacy_directional_score,confirmation,0.7,46,0.057571964956195244,0.6086956521739131
adaptive,legacy_directional_score,confirmation,0.75,4,0.0050062578222778474,0.75
adaptive,legacy_directional_score_causal_window,all,0.5,2301,0.9995655951346655,0.6184267709691439
adaptive,legacy_directional_score_causal_window,all,0.55,2247,0.976107732406603,0.6154873164218959
adaptive,legacy_directional_score_causal_window,all,0.6,1882,0.8175499565595135,0.604144527098831
adaptive,legacy_directional_score_causal_window,all,0.65,868,0.37706342311033886,0.6290322580645161
adaptive,legacy_directional_score_causal_window,all,0.7,247,0.10729800173761946,0.659919028340081
adaptive,legacy_directional_score_causal_window,all,0.75,65,0.028236316246741965,0.6615384615384615
adaptive,legacy_directional_score_causal_window,tuning_early,0.5,309,1.0,0.598705501618123
adaptive,legacy_directional_score_causal_window,tuning_early,0.55,309,1.0,0.598705501618123
adaptive,legacy_directional_score_causal_window,tuning_early,0.6,300,0.970873786407767,0.5966666666666667
adaptive,legacy_directional_score_causal_window,tuning_early,0.65,223,0.7216828478964401,0.6322869955156951
adaptive,legacy_directional_score_causal_window,tuning_early,0.7,87,0.2815533980582524,0.6896551724137931
adaptive,legacy_directional_score_causal_window,tuning_early,0.75,32,0.10355987055016182,0.6875
adaptive,legacy_directional_score_causal_window,tuning_late,0.5,519,1.0,0.6473988439306358
adaptive,legacy_directional_score_causal_window,tuning_late,0.55,519,1.0,0.6473988439306358
adaptive,legacy_directional_score_causal_window,tuning_late,0.6,505,0.9730250481695568,0.6455445544554456
adaptive,legacy_directional_score_causal_window,tuning_late,0.65,305,0.5876685934489403,0.6754098360655738
adaptive,legacy_directional_score_causal_window,tuning_late,0.7,110,0.2119460500963391,0.6545454545454545
adaptive,legacy_directional_score_causal_window,tuning_late,0.75,29,0.055876685934489405,0.6206896551724138
adaptive,legacy_directional_score_causal_window,validation,0.5,674,0.9985185185185185,0.5845697329376854
adaptive,legacy_directional_score_causal_window,validation,0.55,625,0.9259259259259259,0.5744
adaptive,legacy_directional_score_causal_window,validation,0.6,399,0.5911111111111111,0.5338345864661654
adaptive,legacy_directional_score_causal_window,validation,0.65,66,0.09777777777777778,0.5
adaptive,legacy_directional_score_causal_window,validation,0.7,4,0.005925925925925926,0.75
adaptive,legacy_directional_score_causal_window,validation,0.75,0,0.0,
adaptive,legacy_directional_score_causal_window,confirmation,0.5,799,1.0,0.6357947434292867
adaptive,legacy_directional_score_causal_window,confirmation,0.55,794,0.9937421777221527,0.6335012594458438
adaptive,legacy_directional_score_causal_window,confirmation,0.6,678,0.8485607008760951,0.6179941002949852
adaptive,legacy_directional_score_causal_window,confirmation,0.65,274,0.3429286608260325,0.6058394160583942
adaptive,legacy_directional_score_causal_window,confirmation,0.7,46,0.057571964956195244,0.6086956521739131
adaptive,legacy_directional_score_causal_window,confirmation,0.75,4,0.0050062578222778474,0.75
adaptive,causal_global_cohort,all,0.5,2302,1.0,0.6185925282363163
adaptive,causal_global_cohort,all,0.55,2302,1.0,0.6185925282363163
adaptive,causal_global_cohort,all,0.6,2302,1.0,0.6185925282363163
