model,slice,calls,accuracy,mean_probability,auc,brier,log_loss,ece,calibration_intercept,calibration_slope,spearman
active,indicator_id:X48,7,0.42857142857142855,0.6355251254077304,0.41666666666666663,0.2910896958147976,0.7782789021218102,0.20695369683630188,8.283830959592146,-15.44767937207873,-0.14433756729740646
active,indicator_id:X2,15,0.6666666666666666,0.6457225887198615,0.48,0.22419398944816424,0.6409480694483188,0.020944077946805084,2.292737060911963,-2.6521512169780035,-0.032732683535398856
active,indicator_id:X27,48,0.6041666666666666,0.6145680609494364,0.4736842105263158,0.2411292612251438,0.6754084006344803,0.019853433376990755,0.5507867302139013,-0.2722779518112114,-0.04458983413337778
active,indicator_id:X26,44,0.5681818181818182,0.6061429882776618,0.36631578947368426,0.2518875719417189,0.6975447613512474,0.14289479069235386,2.060114176837564,-4.1017419511441435,-0.22944418677081638
active,indicator_id:X33,37,0.5675675675675675,0.6033305616061593,0.5386904761904762,0.24357875640745974,0.68009099565744,0.04923955740566365,-0.5066080091693477,1.8584707259883837,0.06642342844420464
active,indicator_id:X47,1,0.0,0.6348821818250717,,0.40307538479896343,1.0075351879646233,0.6348821818250717,,,
active,indicator_id:X11,25,0.68,0.605227205685191,0.29411764705882354,0.23019609573343033,0.653415592662293,0.17786494668230657,4.855385056450238,-9.310137541234534,-0.33295604590814587
active,indicator_id:X9,10,0.7,0.5965809082742763,0.1904761904761905,0.229948538641156,0.6530557758813396,0.11685940208280726,8.998456321356583,-19.581661902474053,-0.493829164658431
active,indicator_id:X8,2,0.5,0.5889109237333012,1.0,0.25085090600847376,0.69464933841612,0.08891092373330123,-63.614433899123235,176.9414505542348,0.9999999999999999
active,predicted_direction:Up,1500,0.6173333333333333,0.6546114737232285,0.5224655895124208,0.23850435758930727,0.6704839817081343,0.06332231239366412,0.26670558925429605,0.3277769786056651,0.037824981064212095
active,window:tuning_early,450,0.64,0.6877625519563584,0.5465106310013718,0.23160010185565522,0.6562752484708274,0.05069054876879743,-0.051868450070814656,0.7920059926206472,0.07733661590184834
active,window:tuning_late,450,0.6466666666666666,0.6767001601595174,0.5329486265101905,0.22955143936828762,0.6524787373407316,0.030033493492850567,0.32259632166182145,0.37922795543955184,0.05455839096480833
active,window:validation,600,0.5783333333333334,0.6131816502211646,0.4158057204041416,0.2503972380553111,0.6946444649116668,0.09930709898451479,1.2470658769532488,-1.9995294297198016,-0.14402820861551857
active,window:confirmation,0,,,,,,,,,
adaptive,regime_label:mixed,1466,0.6609822646657572,0.6444238390820398,0.4971604653722126,0.22711982651381107,0.6467327981163467,0.03306044828807626,0.6779604149551541,-0.01696527534573802,-0.004656332724770149
adaptive,regime_label:calm,482,0.5435684647302904,0.6368190428512772,0.5224670367800138,0.2559066602546009,0.7056008164382147,0.09468457999270478,-0.24247607646947736,0.7381795768874664,0.03876611696765737
adaptive,regime_label:stressed,597,0.5996649916247906,0.6472937245775747,0.47405390243332324,0.24646274404997912,0.6877910717334578,0.07635523840960787,0.6703247750852951,-0.43228745401958035,-0.0440381850262999
