origin_position,realized,forecast,last_breadth,breadth3,stress,broad_down
257,0.6888888888888889,0.6332937910216142,0.8125,0.7777777777777777,0.2755474452554745,0
258,0.6222222222222222,0.5804478886862271,0.4791666666666667,0.7430555555555554,0.5064311594202899,0
259,0.13333333333333333,0.6770967155265436,0.6875,0.659722222222222,0.4960431654676259,1
260,0.8222222222222222,0.6375769711068581,0.625,0.597222222222222,0.5400892857142857,0
261,0.26666666666666666,0.5956164882712512,0.14583333333333334,0.48611111111111094,0.7767730496453902,1
262,0.7777777777777778,0.5529306829307774,0.8333333333333334,0.5347222222222221,0.41927816901408455,0
263,0.2,0.5324789435597225,0.2708333333333333,0.4166666666666665,0.7333041958041958,1
264,0.3695652173913043,0.5252480467351275,0.75,0.6180555555555555,0.44340277777777776,1
265,0.6595744680851063,0.5776286014735597,0.1875,0.4027777777777776,0.7875862068965518,0
266,0.10638297872340426,0.5392388116968703,0.375,0.43749999999999983,0.6022260273972603,1
