origin_position,window,cap,universe_breadth,broad_down_month,production,longrun_drift_oracle,window_drift_oracle,breadth_timing_oracle,longrun_plus_breadth_timing,perfect_up_selection
154,tuning,19,0.6052631578947368,False,10,13,14,10,13,19
155,tuning,20,0.7631578947368421,False,16,17,18,16,17,20
156,tuning,20,0.5,False,13,15,15,13,15,19
157,tuning,18,0.7368421052631579,False,16,15,17,16,15,18
158,tuning,15,0.6842105263157895,False,13,14,13,13,14,15
159,tuning,18,0.34210526315789475,True,9,8,10,9,10,13
160,tuning,16,0.2631578947368421,True,3,3,3,13,13,10
161,tuning,15,0.868421052631579,False,15,14,15,15,14,15
162,tuning,15,0.21052631578947367,True,0,0,0,15,15,8
163,tuning,15,0.7894736842105263,False,15,15,15,15,15,15
164,tuning,16,0.7368421052631579,False,15,16,16,15,16,16
165,tuning,15,0.5263157894736842,False,10,9,10,10,9,15
166,tuning,15,0.5789473684210527,False,12,11,12,12,11,15
167,tuning,15,0.3157894736842105,True,6,7,6,9,8,12
168,tuning,15,0.9210526315789473,False,15,15,15,15,15,15
169,tuning,19,0.47368421052631576,True,12,11,12,7,8,18
170,tuning,19,0.717948717948718,False,14,15,14,14,15,19
171,tuning,17,0.7435897435897436,False,16,16,16,16,16,17
172,tuning,20,0.8461538461538461,False,17,16,17,17,16,20
173,tuning,18,0.23076923076923078,True,2,4,2,16,14,9
174,tuning,17,0.6666666666666666,False,16,16,16,16,16,17
175,tuning,19,0.1282051282051282,True,3,3,3,16,16,5
176,tuning,18,0.5128205128205128,False,14,16,14,14,16,18
177,tuning,17,0.5641025641025641,False,14,15,14,14,15,17
178,tuning,17,0.3076923076923077,True,6,6,6,11,11,12
179,tuning,20,0.4358974358974359,True,8,10,8,12,10,17
180,validation,19,0.717948717948718,False,15,14,16,15,14,19
181,validation,16,0.28205128205128205,True,6,6,5,10,10,11
182,validation,15,0.6666666666666666,False,6,6,9,6,6,15
183,validation,17,0.46153846153846156,True,12,11,14,5,6,17
184,validation,15,0.1794871794871795,True,1,1,2,14,14,7
185,validation,17,0.4358974358974359,True,13,12,12,4,5,17
186,validation,16,0.15384615384615385,True,0,1,1,16,15,6
187,validation,15,0.175,True,4,5,2,11,10,7
188,validation,15,0.8780487804878049,False,15,14,15,15,14,15
189,validation,15,0.2926829268292683,True,7,6,9,8,9,12
190,validation,15,0.24390243902439024,True,4,4,3,11,11,10
191,validation,15,0.24390243902439024,True,3,5,1,12,10,10
192,validation,17,0.6097560975609756,False,10,13,11,10,13,17
193,validation,15,0.9512195121951219,False,15,15,15,15,15,15
194,validation,15,0.7560975609756098,False,10,10,12,10,10,15
195,validation,17,0.4634146341463415,True,12,12,11,5,5,17
196,validation,19,0.6585365853658537,False,12,13,10,12,13,19
197,validation,15,0.8048780487804879,False,13,13,14,13,13,15
198,validation,19,0.3902439024390244,True,9,8,11,10,11,16
199,validation,19,0.5238095238095238,False,5,6,7,5,6,19
200,validation,16,0.19047619047619047,True,4,3,5,12,13,8
201,validation,18,0.5,False,10,9,11,10,9,18
202,validation,18,0.5952380952380952,False,13,13,14,13,13,18
203,validation,18,0.8333333333333334,False,16,17,18,16,17,18
204,validation,20,0.8095238095238095,False,19,20,20,19,20,20
205,validation,20,0.35714285714285715,True,6,6,9,14,14,15
206,validation,20,0.6666666666666666,False,17,18,17,17,18,20
207,validation,16,0.6904761904761905,False,14,14,14,14,14,16
208,validation,17,0.4523809523809524,True,9,9,10,8,8,17
209,validation,17,0.9285714285714286,False,16,17,17,16,17,17
210,validation,16,0.5714285714285714,False,9,10,9,9,10,16
211,validation,20,0.5714285714285714,False,14,13,17,14,13,20
212,validation,17,0.6428571428571429,False,15,13,15,15,13,17
213,validation,15,0.7142857142857143,False,11,11,13,11,11,15
214,validation,18,0.7906976744186046,False,14,13,14,14,13,18
215,validation,16,0.7906976744186046,False,14,11,15,14,11,16
216,validation,17,0.046511627906976744,True,0,0,0,17,17,2
217,validation,15,0.3488372093023256,True,2,5,2,13,10,15
218,validation,16,0.5116279069767442,False,8,8,11,8,8,16
219,validation,19,0.6046511627906976,False,12,14,12,12,14,19
220,confirmation,20,0.37209302325581395,True,7,12,14,13,8,16
221,confirmation,20,0.7209302325581395,False,18,18,17,18,18,20
222,confirmation,16,0.5581395348837209,False,13,14,14,13,14,16
223,confirmation,15,0.5813953488372093,False,10,10,9,10,10,15
224,confirmation,15,0.13953488372093023,True,2,2,2,13,13,6
225,confirmation,16,0.627906976744186,False,12,13,11,12,13,16
226,confirmation,15,0.2558139534883721,True,6,3,1,13,12,11
227,confirmation,16,0.9302325581395349,False,16,16,15,16,16,16
228,confirmation,15,0.7441860465116279,False,13,14,14,14,14,15
229,confirmation,15,0.7209302325581395,False,13,13,15,13,13,15
230,confirmation,17,0.6046511627906976,False,15,13,14,15,13,17
231,confirmation,16,0.20930232558139536,True,0,3,2,16,13,9
232,confirmation,15,0.9767441860465116,False,15,15,14,15,15,15
233,confirmation,18,0.5116279069767442,False,14,13,12,14,13,18
234,confirmation,18,0.37209302325581395,True,6,8,6,12,10,16
235,confirmation,18,0.7209302325581395,False,15,14,16,15,14,18
236,confirmation,19,0.8372093023255814,False,16,16,14,16,16,19
237,confirmation,19,0.627906976744186,False,16,15,16,16,15,19
238,confirmation,20,0.8604651162790697,False,18,15,17,18,15,20
239,confirmation,17,0.4883720930232558,True,10,12,10,7,5,17
240,confirmation,19,0.13953488372093023,True,2,3,2,17,16,6
241,confirmation,16,0.09302325581395349,True,0,1,1,16,15,4
242,confirmation,18,0.8837209302325582,False,18,18,16,18,18,18
243,confirmation,16,0.8604651162790697,False,14,14,14,15,14,16
244,confirmation,16,0.7441860465116279,False,11,11,11,11,11,16
245,confirmation,16,0.8837209302325582,False,14,15,15,14,15,16
246,confirmation,20,0.8181818181818182,False,18,17,18,18,17,20
247,confirmation,16,0.1590909090909091,True,2,2,2,14,14,7
248,confirmation,18,0.36363636363636365,True,3,3,6,15,15,16
249,confirmation,15,0.9090909090909091,False,15,15,14,15,15,15
250,confirmation,15,0.9545454545454546,False,15,15,14,15,15,15
251,confirmation,18,0.4318181818181818,True,8,7,10,10,11,18
252,confirmation,17,0.5909090909090909,False,11,9,14,11,9,17
253,confirmation,18,0.5777777777777777,False,13,14,15,13,14,18
254,confirmation,17,0.9555555555555556,False,17,17,16,17,17,17
255,confirmation,15,0.8444444444444444,False,13,14,11,13,14,15
256,confirmation,18,0.4888888888888889,True,11,12,13,7,6,18
257,confirmation,19,0.6888888888888889,False,15,15,16,15,15,19
258,confirmation,17,0.6222222222222222,False,14,13,15,14,13,17
259,confirmation,20,0.13333333333333333,True,1,1,3,19,19,6
260,confirmation,19,0.8222222222222222,False,18,16,17,18,16,19
261,confirmation,17,0.26666666666666666,True,6,5,5,12,12,12
262,confirmation,16,0.7777777777777778,False,15,14,14,15,14,16
263,confirmation,15,0.2,True,2,2,4,13,13,9
264,confirmation,15,0.3695652173913043,True,1,2,3,14,13,15
265,confirmation,17,0.6595744680851063,False,14,12,15,14,12,17
266,confirmation,16,0.10638297872340426,True,2,2,4,14,14,5
